title,rating,body
Below average,1.0,"Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price."
"RUBBISH PHONE, WANT MY MONEY BACK",1.0,"PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK"
Perfect phone with this price,5.0,"This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company."
Not recommended for Jiofiber users,1.0,"Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI."
"Not So impressive,okay okay.Little over price",3.0,"The media could not be loaded.
                



 #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category"
Very poor performance,1.0,Dislike
Value for Money,4.0,"I bought it @10,499 INRDisplay is TFT but not that bad irl unless ome is switching to it from an AMOLED display. 90Hz doesn't feel so good and I don't expect it to, for the price given.Rear Camera is excellent for this price. 48MP mode catches very good details. Dynamic Range is exceptionally good. Portrait mode is sometimes hit or miss.Front Camera is decent. Not too bad, but can't say good either.Battery is obviously very good as this is 6000mAh. I bought it for my uncle and he only use it for Calls, Banking Apps, Streaming Music(Wynk) and 1-1.5 hours YT. It easily lasts him 2 days on a single charge of above 90%.OneUI has all the useful features and very responsive. The UI feels so nice while navigating through. System apps open without any delay. Best thing is that it comes with Samsung's own Dialer. I used it for few days before giving it to my uncle and it never felt like it's slow or laggy(I don't play games). RAM Management is very good. I'm a rough user who doesn't care about closing apps and I use many Social apps at the same time. It never felt like it's being slowed down and never faced any lag or delay even when using multiple apps at the same time. For instance, if a system app opens in 0.2s when there's no background app and if there's a lot of apps open in recent, even after that that system app will open in 0.2s unlike other UIs which generally start to delay app openings. That's the consistency and stability of OneUI that I love.But not everything is good in OneUI. First of all, the setup process tries every possible way to push ADs & bloats, like hiding the option to untick recommendation and promotional services in such a way that one can't even imagine where it is if he doesn't know already. Then it asks to install some bloatware on the name of recommended apps. They all are already checked and the tick mark appears dull as if it can't be unchecked. One has to manually untick all and click next. After all this, the setup process is complete. Even after doing every possible way to avoid ADs & bloats, I got welcomed with a bunch of bloatware like Moj, Josh, Takatak PhonePe, DailyHunt, and many more already installed. After uninstalling them, two permanent notification appeared. One was from Samsung side and other one was from Google Play Store. They both were asking to complete the setup using wifi on the name of Configuration update. None of them mentioned what will they do. I clicked ""Use Cellular Data"" and they both started to install more bloatware. Play Store installed 9 apps (most of them were Microsoft apps like LinkedIn, Office, etc.) while Samsung again started to install Moj, Josh, Takatak, BYJU's and many more crap. Most frustrating thing is that there's no option to cancel it. If mobile data is turned off, they start again when connected to it. After half an hour, the notifications disappeared and I uninstalled them again. Next day, a Software Update was available to be downloaded (Security Patch). It again installed 3 bloatware. This is so annoying about OneUI. Initially, MIUI was known for ADs and bloatware and OneUI was clean. Now it is just the opposite. ADs are frequently pushed in the notifications through Galaxy Store which again, asks to install those short video apps.I'm rating it ⭐⭐⭐⭐ only because of this. Otherwise, it's really a very good phone in other aspects."
Very bad self camera,1.0,Self camera is just like 2 mega pixels.
Samsung UI/UX is the worst,1.0,"The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done."
Not a good budget phone,2.0,"Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying.."
Good battery but average performance,3.0,Pros:1. The biggest advantage for buying this phone is the battery life. 2.Going to the body of phone it is a very greatly built it comes with the matte finish it makes the phone Look really good.Cons1. You are choosing this phone because of the four cameras then you are wrong. Because it doesn’t give any clarity even it is with the selfie camera also. the camera is not up to the mark.2. The processor is also not up to the mark because when I use this phone for 2 to 3 days in starting I just saw off in different apps and sometimes it was struggling3.The display is also not up to the markSo my general suggestion is if you’re choosing this phone for general use with having a good battery back up then you can go with itbut if you are choosing this phone because of seeing the quad cameras then you’ll be left with nothing.Thank youI hope you all will like my review
Poor from Samsung,1.0,Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.
It's a budget package. A good phone to buy in the ₹ 10k bracket.,5.0,"A very satisfying  experience with the device so  far.Pros:1. Long battery life-  I am a moderate  user who does everything  except gaming. That said , the battery lasts up to 2 full days.2. Decent cameras for the price. Pictures are satisfactory but could be better.3. Very responsive finger print sensor.4. Good sound quality, although dolby's impact  is not much pronounced5. UI is great and snappy. Lots of customization options.6. The display is good and smooth with 90hz refresh rate. It does make the difference.7. Fast charging works fine.Cons:1. The weight of the phone is on the heavier side @ 220 gms2. The display could have been a full HD+ @ 1080p3. No led notification light. All though there are apps that can do the job on an AMOLED screen.Overall, a good package."
Horrible product from samsung,1.0,Horrible product
Just a PowerBank with 12 mp camera attached.,1.0,Look is average. Battery life is good. Only go ahead if you just need a good brand name otherwise 100 of options are available in market. You will definitely get disappointed with camera which is actually not more than 12 mega pixels.  This phone nothing but a PowerBank with 12 mp camera attached. Samsung must call back these phones as it is definitely going to kill the brand name. I will highly appreciate if Amazon has the guts to publish this review. This is an open challenge to Amazon...
Disappointed,1.0,"Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this."
Worst Samsung phone,1.0,"This is Samsung's worst phone and it hs many glitches. Samsung doesn't even cleverly keep this phone on exchange deal because it wants to push this flop phone. The settings screen automatically come on home screen randomly on any other thing that is playing. Its camera is less than mediocre. Sound quality is bad. Only redeeming feature is battery life but then who wants long battery is everything else substandard. I want to return this but there is no such option. I want to exchange it for another model but there is ni such option either. I think Amazon and Samsung are taking us for a ride. We customers must raise our voice against such malpractices. Amazon is also allowing substandard, unverified sellers to peddle junk with misleading photos and information."
Everything is just lit at this price🔥 . No complains about anything,5.0,"It's a real monster. Everything is awesome from display to processor EVERYTHING. Fingerprint works very fast. Battery life is also really huge. Those who are not in favour of camera quality they're wrong camera quality is just awesome, size of pic goes more than 20MB from main 48mp camera. Must buy product. Really happy from it 😌. Once again no complains regarding anything."
Worst camera,1.0,Camera is very poor.. though they mentioned 48mp but it looks like 13mp
Samsung M12 Mobile Phone Problem,1.0,"The media could not be loaded.
                



 I don't know why Amazon is compromising on its quality to deliver  product's,  its evident nowadays, Recently I have got Samsung M12 product on 7 April 2021 the exchange date is 14 April 2021 ,Now after 7 days this phone display is gone , there is a blur continously in the screen,"
"Disappointed with mobile, Gpay & PhonePay app has issue",1.0,"Disappointed with this mobile.... PhonePay & GooglePay apps are not working properly.... Numbers visible only half and getting overlapped....and we're end up typing wrong Pin numbers.... multiple times we have changed the Pin for these apps... now a days We regularly use mobile for online payments but this mobile is not useful for online payments due to app issues.We have tried to return this mobile, but Amazon return policy date was over by the time we found the issue."
Budget Samsung Phone,5.0,I am using this phone for the last one week and i noticed few positive and negative things about it.Positive points -• Fingerprint sensor is so fast and i loved it• Battery backup (6000 mAh) is amazing even after using it throughout the day• Camera quality is really good and the pictures are amazing on day light• Large display having a size of 6.5 inches and can run games smoothly on low graphic settings• 90Hz refresh rate feels so smooth• The phone doesn't lag or get heated after using it for a long time because of Exynos 850 (8nm) high-end processorNegative points -• Not made for hard-core gaming because the processor is not strong enough to run games smoothly on high graphics• The weight of phone is heavy• The brightness level is somewhat low as compared to other phones• The display that you will get is around 720 x 1600 pixels• The downloading as well as uploading speed is also low as compared to other phones within this price range• It is not water resistant and does not have Gorilla glass for screen protection .~ I am satisfied with this phone because of it's camera quality and battery backup √
Phone is ok but can lag alot at time...,4.0,"Camera - sensor is ok, ppl writing the reviews do not know how to take pictures (i have taken some sample pictures for proof).Performance- after an year of use the phone seems to have periods where they hang alot.Finger print reader:. Pretty good, i have not faced any problems so far(been more than a year)Ui- keyboard bugs alot where it appears over the writing bar... That gets inconvenient at time.Overall verdic- for 12k this is the best phone i have used... Don't expect too much extra crispy perfromance from it...😶 If u broke like me go for it"
Go For It,4.0,I am giving this review after usage of 2 daysI bought this phone only for two req 1. Battery and Camera.1. BatteryBang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are  absolutely non sense.I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 %2. Camera is decent its ok to have good clicks from this phoneLast but not least Its Made in India!!If anyone is looking for Battery phone just go for this
You will be disappointed,1.0,"Amazon hid all reviews for first few days till most of the stocks are sold out. Then after that it is not allowing to write negative reviews. I wrote my experience with so many negative points and it rejected. Still I am writing the pros & cons again.PROS:▪︎UI 3.0 is amazing. I like it a lot. It is better than Redmi, Moto, Nokia UI. (Subjective)▪︎Amazing battery life. I am getting more than 24hrs of usage after fully charged.CONS▪︎Worst camera ever. True 48MP is all bulls**t. Low light pics are also worst.Front camera is also not good.▪︎Seriously??? No Slowmotion, Timelapse & other basic features in camera.▪︎It doesn't support Camera2Api which means I cannot download GCam.▪︎Worst Screen resolution. While everyone is giving Super Amoled display & Full HD display, what happened to you Samsung??▪︎90Hz refresh rate is just gimmick.▪︎8nm processor is also waste.▪︎While all others are giving Snapdragon processors, Samsung is stuck with its Exynos which is basically useless. Phone is hanging sometimes.▪︎Phone is a bit heavy and you'll have a hard time with its weight. It's like holding a powerbank.▪︎15Watt charger?? Samsung...upgrade bro.▪︎Wifi only supports 2.5GHz band and no 5.0 GHz bandFinally dont get decieved by True 48MP, 8nm processor, 90Hz refresh rate and other gimmicks. You will be disappointed. I am very much disappointed. The worst thing is there is no return option in Amazon. Amazon bro...you too planned everything so well. Good job."
This is my honest opinion,4.0,"Changing my review on this device after 2 month usage .  I finally have to say that this is the bang for the buck .Awesome battery life , and that's what I want . I am just using it for basic social media and calls .. rest of my heavy work is done on my primary device .CAMERA is average , My ipad's 5 MP camera shoots better than the so called ""true"" 48MP.My advice-- go for 6gb variant as 2.5 gb is acquired by the system .Overall - 4☆"
PHONE NOT UPTO THE MARK,2.0,"The phone is good looking, but it doesn't support the 5G wifi due to which the downloading speed is very limited2ndly the camera is not uptonthe mark . 48 MP is around 18 MP3rd. THE PHONE takes hell lot of time to get charged .No handsfree in the box"
Better buy a brick!,1.0,Don't know if I could get more disappointed by a purchase!!The phone did look okayish in the spec sheet. But it is a very  stupid buy.The first thing you notice is  the IMPRACTICALITY of the phone.It is too heavy(220g) and too thick (about 1cm) to carry. The display is the worst anyone could get at this price point.The processor is reasonably slow. Face detection is a joke. Battery is 6000 mah but will take forever to charge. But the side fingerprint sensor was good .Camera was okayish. Add a few more bucks and buy a better phone with OLED display.
Regrettable purchase,1.0,"They have conveniently skipped mentioning it is not an amoled display while mentioning 90 Hz refresh rate. Touch response is faulty on these phones and SAR value is high despite having exynos processor, which also they have conveniently skipped mentioning."
Poor Quality..MONSTER FOR BUYERS??,1.0,"The media could not be loaded.
                



 I had received this phone on 09th May 2021. For first two days it worked ok. (OK because this phone is very slow)BUT on third day, 12th May 2021, it was hanged very badly. It was neither getting switched off nor restarted..!!Immediately I have contacted the customer care for its solution. The Amazon representative has responded well and helped me to book technician's visit, which has completed on 15th May 2021.Amazon is ready for its replacement according to their 7 days replacement policy and hand to hand replacement.It was a traumatic condition for me as I have bought this phone in this COVID pandemic in very urgent condition and I badly need a phone always working 24X7 as my family was admitted in the hospital.Also, people who wish to buy it for its Camera then please beware as Samsung is advertising it as TRUE 48MP QUAD CAMERA but its result is like 8MP blurred one.Second thing is the phone is very slow and its UI is frequently NOT WORKING.Third thing is its speakers are giving old radio kind of noise.Luckily, there is no option for rating it ZERO or NEGATIVE star, else I would definitely give that rating to this product.There is ""No Return Available"" and only replacement option is given by Amazon.Only positive thing in this entire incident is that I have bought through Amazon and got their prompt support.I am very much thankful of Amazon as they have replaced this faulty device with new one on 16th May 2021, means within one day after technician visit.Now, I am only hoping that replaced SAMSUNG M12 mobile may perform to atleast ""OK"" level, if not to ""GOOD or BETTER"" standard.Dear Samsung, I will edit my review with positive points if I found the replaced product upto the mark..!!"
Blown away by M12 impressively,5.0,"The media could not be loaded.
                



 Battery life has just blown me away impressively... A great screen and a good processor... I play heavy games on it. I'm just loving it so much. 90 herts refresh rate at this price... Feels even better than my one plus 7 pro and I feel no difference between this and my s21 ultra"
Pathetic customer support,1.0,"I bought the phone for my mother. Her usage is limited to making calls, the phone stays idle all the while. She had one more requirement that I shouldn't have to recharge it regularly. Hence choose this 6000 mAh battery phone. I was happy first few days, it gave 4+ day battery life but then an update came and spoilt everything. In 12 hours it would discharge completely. I approached the customer care and the customer care took remote access and checked logs and said, I see everything healthy in device. I told even though your log shows everything right, that doesn't translate to what I physically see. I probably had conversation for almost 10-15 mins but he was always coming to point he is not seeing problem. This was my first experience with samsung phone and this will be the last. And reason is not because product was bad but the customer support is pathetic. If I get into this kind of situation with their other products as well within a week or few weeks, I would simply waste my money. I am feeling lucky that I did not buy any of their exorbitant product and learnt the lesson at lesser cost."
Total waste of mo ey better a12 but its also not good btter than this,1.0,Heating issueCamera dam 👎 so badSensors issuesUsb isuueDisplay so bad its look like old phone not today's  generation  displayAmazone need to improve software  for check device  and all i think its not goodHeating isueee in phone phone take to much time for chargingSome time rear camera not work properly  for scan qr code and barcodeOverall phone like to throw in dustbin 🗑I don't  expect  product like this from samsung its to bad  experience  from samsung and amazone also im so sad for this review  but i have to do for everyone 😔 so pls don't  buy this product
One of the best smart phone in this price!,5.0,"Decent phone.. people say VGA cam because they didn't notice that the aspect ratio for 48 MP camera.. 48 MP cam option is only for 3:4 aspect ratio..And yea its true that the wifi doesn't support 5G bandwidth..  but over all decent mobile for decent price, Got 6GB version for 11.300 using coupon and credit cardThanking Amazon, IndusInd and Samsung!Posted pics are Shot by me on Samsung M12,Those who dont believe they can ask me for Camera Settings."
One of the best value for money phones,5.0,Good- got it for 9999- decent phone for this cost with all the necessary gizmos and bling- finger print sensor is good. fast and sensitive. Haven't tried the face unlock.- display is top notch on any good Samsung phone for this price- quality pics/ decent ( note - I'm a normal user of camera )- battery is very good. its really a monsterBad ( depends on perspective )- slightly big for small hands- it has all the dumb samsung apps inbuilt ( you can uninstall a few )- slightly heavier when you have a good solid case ( read as spigen branded )Overall very happy to have a good ( more than decent ) phone for the initial offer price.
Not recommended phone. Do not buy,1.0,I recieved the phone today and observed that it is lagging a lot unlike like other Samsung phones. Considering it has 6gb ram it should not be hanging at all.Camera quality is terrible.Lots of heating issuesDoes not connect to 5ghz wifiOnly replacement option available for the product and not refund. So choose the product wisely only after reviewing the feedbacks.Bad network quality. Does not catch mobile network.
Some marketing gimmicks...,3.0,"This phone has 90hz display, but I see a lag while browing or navigating in apps, doesn't feel like 90hz at all48MP true cam when option selected gives noisy images , otherwise in normal mode works above averageBattery is excellent works for 2 daysHeating issues occur on heavy usage, in normal mode you won't notice itFront cam 8 mp just averageOverall I took 6gb 128 gb version for 13k and doesn't seem as good.Above average phone for the price...."
Average phone with bloatware : Samsung India forces to write review,3.0,"Good phone in decent budget .Display could've been better , 90hz is not true to my usage . Since i use op7T it's clearly evident this display lacks the precision which it is said it has .Samsung India : they call me daily to inquire whether i have posted a review and what star rating should i give to the phone . This has become a headache .Dear samsung team , please do not force customer to write reviews and try to reduce the bloatware and unwanted app installations . I am starting to think MIUI was better than this .Display : not that they said / averageCamera : average / specs doesn't meetPerformance : ok for normal useBattery : good .Call quality : goodUI : Poor ,  I will not recommend samsung , this is not the one UI it was when i purchased M30S . Now this is full of bloatware and unwanted apps are getting installed by samsung store . I am puzzled on how to stop this.Overall : Very average phone . Better go for redmi note 10 or any other better phone in this price segment .Not a value for money dela"
Best Phone @12499 for 6 GB RAM/128 GB ROM Variant,5.0,"Pros:1. Best Battery i.e. 6000mAh.2. Good Back camera.3. Good and very necessary features by Samsung One UI. (I bet you'll like it)4. Good Performance (I use a lot of apps in multitasking but I don't play games so can't review gaming performance).5. Supports 15WT fast charging.6. Display is good according to the price range. (Don't get confused on poor display reviews.)7. Side positioned fingerprint sensor is good. (In starting you can face problems if you are currently using a back fingerprint sensor)8. Low light image from the back camera is also good. One attached in the image.9. Currently(11/04/21- 15/04/21) this phone is available @11700 (effective price)using Indusind bank cards so it is a loot deal for now. (Lowest ever price for this phone)Cons:1. Very bad front selfie camera which is 8MP (If you are a selfie addict then avoid it)2. Phone is very heavy and big in size.3. Adaptive brightness is not up to the mark.4.Animations are a little bit slow.5. Contact searching speed in the contacts app is very slow.(Resloved after update)6. After every update they install MX Takatak, Moz like apps which you can uninstall anytime. ( I think to make this phone that much affordable they are trying few methods of Mi and other Chinese brands.)Result: Best phone with all the latest features in this price range. @ 11700 - 12500Important(For those reviews who are saying the phone is slow): Got to developer options(Search Google for how to enable it ) and then Set Windows Animation Scale to .5x, Transition Animation Scale to .5x, Animator Duration to .5x. (Earlier all 3 developer options are set to 1x that's why the phone seems a little bit slow).Update: After update Contact searching speed became very good."
Good buy in a deal,4.0,"The storage is huge 128 gb and double microphone is a plus . However the sound quality is a disappointment. Not sure if the speaker is fault or this is what is to be expected. If you run a fan in a roome and want to watch a video or listen to an audio, you need a Bluetooth speaker for sure."
Do not  buy this phone if u want good camera,1.0,Being die hard fan of Samsung it is very difficult to write this review.Camera quality:why say 48MP  when it doesn't even look like 13MP my Mom's Samsung  M10s  camera quality and screen quality are far better than this phone. Regret for buying this phone for such high price booked on first day of launch as it came from Samsung brand. Generallyi go by reviews  but first time ordered on  launch day becoz of the reliability.I regret for the decision i made. Do not recommend the phone for anyone.
Not expected this type of thing from samsung,1.0,"The media could not be loaded.
                



 Tik tik soung of plastic coming from charging jack/slot area..may be because of not sealing the phone properly or their is a gap inside. And sometimes my phone is fully charged and and charger is not attached then its showing at the bottom charged 92 % and remaining time of fully charge is showing 24 minutes."
Very very Poor network connection,1.0,"Plz do not buy this mobile.. I am facing poor network issue. In my home others are using without any interruption.. Tried many things.. Asked colleagues, neighbors, mobile store person, google and tried all the ways.. But internet is very slow.. The same sim is working fine in other devise in same location. Even internet is ON it is showing you are offline when i try something. Also took nore than 45 mins to download 72 mb size app. Atlast i cancelled and came out due to intolerance. I am placing return order, will see what is gonna happen."
Why there is no slow motion,1.0,"Don't have slow motion, and to much leg."
Average Phone,2.0,The price of the product is OK as per the price bracket. However it was nowhere compared to my old VIVO V5. Made a mistake exchanging the phone.The phone is average...
It heats up within 5min of use and then touch doesn't work,1.0,"The media could not be loaded.
                



 The touch stops working after 5min of use. This phone is really pathetic. I requested for return and amazon sent technician, he came and he agreed that there was touch issue but then he has filed that there is no issue, he even asked me to send the videos on whatsapp, which i did. I feel really cheated by Amazon, then when i call the technician again, he has actually blocked my number. I saw reviews from other customers who have faced the same issue, please don't buy this phone if you don't  want to suffer like i did.  After speaking 15min with customer care they have agreed to send one more technician. I hope this time they do the right thing."
It is USB 2.0 enabled device and not MHL compatible,2.0,I bought this phone mainly for my kids online class during this pandemic. We thought to connect the mobile with our TV through HDMI adapter so that our kids can see the class directly on TV. When we tried to connect this mobile with HDMI adapter we came to know that this is not compatible with the adapter since it's USB hub is 2.0 (Don't know why Samsung configures the old USB hub for it's new mobiles). We also checked whether this mobile is MHL compatible or not? but it's not.If you are buying this mobile only for personal use then it's a good mobile. But if you are looking this mobile for your kid's online class then PLEASE DON'T BUY THIS.
Phone 📱 overall review,5.0,Very good phone. Camera display speed very good. Weight is little heavy.  But worth compare to the price
Below Average product from Samsung,1.0,"Except battery life.. rest other options like camera, display , software are all useless. If Mobile size comes under 6 or 6'4 inch then it will be preferable for elder people(above 50 age). Over all it fails in all segments. Micromax in 1 is far better than M12"
mediocre laggy device,2.0,"I bought this for my dad who is currently using M21 1st edition. Let me list down pros and consPros:1. 6000 mah battery2. Branded device. Current M21 is already running in android 12 from android 10. So future updates is not an issue. Atleast we can expect 2 major updates.3. Charger included in box (15w)Cons:1. Lag lag lag. Even the UI transition every thing is lagging like hell. I dont know how it passed QC. Basic operations like going to contacts, app view , setting everything lags like hell.2. Device feels heavy due to 6000mah battery3.  very very mediocre camera. Okaish output. I am not expecting output like iphone or samsung premium mobiles. But atleast equal to the competitors like redmi at same price range.4. They should move out of 15w charger to atleast 25w qualcomm support. Due to large battery capacity takes long time to charge device to full.5. Loading web pages with lots of images is going to be a problem. For e.g., some people have google news as default home page. For them its going to be really slow.6. Missing amoled which is thr in current m21.Verdict: If you need a branded device at 11 to 14k budget then go to this device. If not go to redmi 10s or iqoo or poco mobiles as they offer better value of money. As soon as I held the device it felt little bit heavy."
